filename,question_number,topic,confidence
0607_m21_qp_42.json,7(c),inequalities,high
0607_m21_qp_42.json,8(a),angles,high
0607_m21_qp_42.json,8(b),trigonometry,high
0607_m21_qp_42.json,8(c),trigonometry,high
0607_m21_qp_42.json,8(d),topics in arithmetic,high
0607_m21_qp_42.json,9(a)(i),sets and Venn diagrams,high
0607_m21_qp_42.json,9(a)(ii),sets and Venn diagrams,high
0607_m21_qp_42.json,9(a)(iii),sets and Venn diagrams,high
0607_m21_qp_42.json,9(b)(i),probability,high
0607_m21_qp_42.json,9(b)(ii),probability,high
0607_m21_qp_42.json,10(a),similarity,high
0607_m21_qp_42.json,10(b),mensuration,high
0607_m21_qp_42.json,11(a),functions,high
0607_m21_qp_42.json,11(b),functions,high
0607_m21_qp_42.json,11(c),functions,high
0607_m21_qp_42.json,11(d),functions,high
0607_m21_qp_42.json,11(e),functions,high
0607_m22_qp_22.json,1,topics in arithmetic,high
0607_m22_qp_22.json,2,topics in arithmetic,high
0607_m22_qp_22.json,3,topics in arithmetic,high
0607_m22_qp_22.json,4(a),vectors,high
0607_m22_qp_22.json,4(b),vectors,high
0607_m22_qp_22.json,5,topics in arithmetic,high
0607_m22_qp_22.json,6,topics in arithmetic,high
0607_m22_qp_22.json,7,mensuration,high
0607_m22_qp_22.json,8,exponents and surds,high
0607_m22_qp_22.json,9,topics in arithmetic,high
0607_m22_qp_22.json,10(a),similarity,high
0607_m22_qp_22.json,10(b),similarity,high
0607_m22_qp_22.json,11,expanding and factorising,high
0607_m22_qp_22.json,12(a),transformations,high
0607_m22_qp_22.json,12(b),transformations,high
0607_m22_qp_22.json,13,exponents and surds,high
0607_m22_qp_22.json,14(a),topics in arithmetic,high
0607_m22_qp_22.json,14(b),topics in arithmetic,high
0607_m22_qp_22.json,15,expanding and factorising,high
0607_m22_qp_22.json,16,solving quadratic equations,high
0607_m22_qp_22.json,17,expanding and factorising,high
0607_m22_qp_22.json,18,logarithms,high
0607_m22_qp_42.json,1(a),straight lines,high
0607_m22_qp_42.json,1(b)(i),straight lines,high
0607_m22_qp_42.json,1(b)(ii),straight lines,high
0607_m22_qp_42.json,2(a),topics in arithmetic,high
0607_m22_qp_42.json,2(b),topics in arithmetic,high
0607_m22_qp_42.json,2(c),topics in arithmetic,high
0607_m22_qp_42.json,2(d)(i),topics in arithmetic,high
0607_m22_qp_42.json,2(d)(ii),topics in arithmetic,high
0607_m22_qp_42.json,2(e),topics in arithmetic,high
0607_m22_qp_42.json,3(a)(i),statistics,high
0607_m22_qp_42.json,3(a)(ii),statistics,high
0607_m22_qp_42.json,3(a)(iii),statistics,high
0607_m22_qp_42.json,3(a)(iv),statistics,high
0607_m22_qp_42.json,3(b),statistics,high
0607_m22_qp_42.json,3(c),statistics,high
0607_m22_qp_42.json,4(a),angles,high
0607_m22_qp_42.json,4(b),angles,high
0607_m22_qp_42.json,5(a)(i),expanding and factorising,high
0607_m22_qp_42.json,5(a)(ii),expanding and factorising,high
0607_m22_qp_42.json,5(a)(iii),solving quadratic equations,high
0607_m22_qp_42.json,5(b)(i),solving linear equations,high
0607_m22_qp_42.json,5(b)(ii),solving linear equations,high
0607_m22_qp_42.json,5(b)(iii),solving linear equations,high
0607_m22_qp_42.json,6(a),expanding and factorising,high
0607_m22_qp_42.json,6(b),expanding and factorising,high
0607_m22_qp_42.json,6(c),mensuration,high
0607_m22_qp_42.json,7(a),functions,high
0607_m22_qp_42.json,7(b),functions,high
0607_m22_qp_42.json,7(c),functions,high
0607_m22_qp_42.json,7(d),functions,high
0607_m22_qp_42.json,7(e)(i),functions,high
0607_m22_qp_42.json,7(e)(ii),functions,high
0607_m22_qp_42.json,7(e)(iii),inequalities,high
0607_m22_qp_42.json,8(a)(i),functions,high
0607_m22_qp_42.json,8(a)(ii),functions,high
0607_m22_qp_42.json,8(b),functions,high
0607_m22_qp_42.json,8(c),functions,high
0607_m22_qp_42.json,8(d),functions,high
0607_m22_qp_42.json,8(e),functions,high
0607_m22_qp_42.json,8(f),functions,high
0607_m22_qp_42.json,9(a),trigonometry,high
0607_m22_qp_42.json,9(b)(i),trigonometry,high
0607_m22_qp_42.json,9(b)(ii),trigonometry,high
0607_m22_qp_42.json,9(c),trigonometry,high
0607_m22_qp_42.json,10(a),probability,high
0607_m22_qp_42.json,10(b)(i),probability,high
0607_m22_qp_42.json,10(b)(ii),probability,high
0607_m22_qp_42.json,10(c)(i),probability,high
0607_m22_qp_42.json,10(c)(ii),probability,high
0607_m22_qp_42.json,11(a),trigonometry,high
0607_m22_qp_42.json,11(b)(i),trigonometry,high
0607_m22_qp_42.json,11(b)(ii),trigonometry,high
0607_m22_qp_42.json,11(b)(iii),trigonometry,high
0607_m23_qp_22.json,1(a),topics in arithmetic,high
0607_m23_qp_22.json,1(b),topics in arithmetic,high
0607_m23_qp_22.json,2,topics in arithmetic,high
0607_m23_qp_22.json,3(a),topics in arithmetic,high
0607_m23_qp_22.json,3(b),topics in arithmetic,high
0607_m23_qp_22.json,4,angles,high
0607_m23_qp_22.json,5,probability,high
0607_m23_qp_22.json,6,solving linear equations,high
0607_m23_qp_22.json,7,inequalities,high
0607_m23_qp_22.json,8(a),exponents and surds,high
0607_m23_qp_22.json,8(b),exponents and surds,high
0607_m23_qp_22.json,9,angles,high
0607_m23_qp_22.json,10,Pythagoras,high
0607_m23_qp_22.json,11,simultaneous equations,high
0607_m23_qp_22.json,12,expanding and factorising,high
0607_m23_qp_22.json,13(a),sets and Venn diagrams,high
0607_m23_qp_22.json,13(b),sets and Venn diagrams,high
0607_m23_qp_22.json,14,solving linear equations,high
0607_m23_qp_22.json,15,expanding and factorising,high
0607_m23_qp_22.json,16,mensuration,high
0607_m23_qp_22.json,17,probability,high
0607_m23_qp_42.json,1(a),statistics,high
0607_m23_qp_42.json,1(b),statistics,high
0607_m23_qp_42.json,1(c),statistics,high
0607_m23_qp_42.json,1(d),statistics,high
0607_m23_qp_42.json,1(e),statistics,high
0607_m23_qp_42.json,2(a),transformations,high
0607_m23_qp_42.json,2(b),transformations,high
0607_m23_qp_42.json,2(c),transformations,high
0607_m23_qp_42.json,2(d),transformations,high
0607_m23_qp_42.json,3(a),circle theorems,high
0607_m23_qp_42.json,3(b)(i),circle theorems,high
0607_m23_qp_42.json,3(b)(ii),circle theorems,high
0607_m23_qp_42.json,3(b)(iii),circle theorems,high
0607_m23_qp_42.json,3(b)(iv),circle theorems,high
0607_m23_qp_42.json,3(b)(v),circle theorems,high
0607_m23_qp_42.json,3(c),circle theorems,high
0607_m23_qp_42.json,4(a),statistics,high
0607_m23_qp_42.json,4(b),statistics,high
0607_m23_qp_42.json,4(c),statistics,high
0607_m23_qp_42.json,4(d)(i),statistics,high
0607_m23_qp_42.json,4(d)(ii),statistics,high
0607_m23_qp_42.json,5(a),variation and proportion,high
0607_m23_qp_42.json,5(b),solving linear equations,high
0607_m23_qp_42.json,5(c),solving linear equations,high
0607_m23_qp_42.json,5(d),logarithms,high
0607_m23_qp_42.json,5(e),solving quadratic equations,high
0607_m23_qp_42.json,6(a),functions,high
0607_m23_qp_42.json,6(b),functions,high
0607_m23_qp_42.json,6(c),functions,high
0607_m23_qp_42.json,6(d),functions,high
0607_m23_qp_42.json,6(e)(i),functions,high
0607_m23_qp_42.json,6(e)(ii),inequalities,high
0607_m23_qp_42.json,7(a),variation and proportion,high
0607_m23_qp_42.json,7(b),variation and proportion,high
0607_m23_qp_42.json,7(c),variation and proportion,high
0607_m23_qp_42.json,8(a),trigonometry,high
0607_m23_qp_42.json,8(b),trigonometry,high
0607_m23_qp_42.json,8(c)(i),trigonometry,high
0607_m23_qp_42.json,8(c)(ii),trigonometry,high
0607_m23_qp_42.json,8(d),trigonometry,high
0607_m23_qp_42.json,9(a)(i),topics in arithmetic,high
0607_m23_qp_42.json,9(a)(ii),topics in arithmetic,high
0607_m23_qp_42.json,9(b)(i),topics in arithmetic,high
0607_m23_qp_42.json,9(b)(ii),topics in arithmetic,high
0607_m23_qp_42.json,9(c),topics in arithmetic,high
0607_m23_qp_42.json,10(a),trigonometry,high
0607_m23_qp_42.json,10(b),trigonometry,high
0607_m23_qp_42.json,11(a)(i),mensuration,high
0607_m23_qp_42.json,11(a)(ii),mensuration,high
0607_m23_qp_42.json,11(b),mensuration,high
0607_m23_qp_42.json,11(c),similarity,high
0607_m23_qp_42.json,12(a)(i),probability,high
0607_m23_qp_42.json,12(a)(ii),probability,high
0607_m23_qp_42.json,12(b),probability,high
0607_m24_qp_22.json,1,topics in arithmetic,high
0607_m24_qp_22.json,2,topics in arithmetic,high
0607_m24_qp_22.json,3(a),transformations,high
0607_m24_qp_22.json,3(b),transformations,high
0607_m24_qp_22.json,4,exponents and surds,high
0607_m24_qp_22.json,5(a),topics in arithmetic,high
0607_m24_qp_22.json,5(b),topics in arithmetic,high
0607_m24_qp_22.json,6,angles,high
0607_m24_qp_22.json,7(a),statistics,high
0607_m24_qp_22.json,7(b),statistics,high
0607_m24_qp_22.json,8,simultaneous equations,high
0607_m24_qp_22.json,9(a),topics in arithmetic,high
0607_m24_qp_22.json,9(b),topics in arithmetic,high
0607_m24_qp_22.json,10,exponents and surds,high
0607_m24_qp_22.json,11,Pythagoras,high
0607_m24_qp_22.json,12,solving linear equations,high
0607_m24_qp_22.json,13(a),exponents and surds,high
0607_m24_qp_22.json,13(b),exponents and surds,high
0607_m24_qp_22.json,14,variation and proportion,high
0607_m24_qp_22.json,15,logarithms,high
0607_m24_qp_42.json,1(a),trigonometry,high
0607_m24_qp_42.json,1(b),trigonometry,high
0607_m24_qp_42.json,1(c)(i),trigonometry,high
0607_m24_qp_42.json,1(c)(ii),trigonometry,high
0607_m24_qp_42.json,1(c)(iii),inequalities,high
0607_m24_qp_42.json,2(a),topics in arithmetic,high
0607_m24_qp_42.json,2(b),topics in arithmetic,high
0607_m24_qp_42.json,2(c)(i),expanding and factorising,high
0607_m24_qp_42.json,2(c)(ii),expanding and factorising,high
0607_m24_qp_42.json,2(c)(iii),solving quadratic equations,high
0607_m24_qp_42.json,2(c)(iv),solving quadratic equations,high
0607_m24_qp_42.json,3(a),transformations,high
0607_m24_qp_42.json,3(b),transformations,high
0607_m24_qp_42.json,3(c)(i),transformations,high
0607_m24_qp_42.json,3(c)(ii),transformations,high
0607_m24_qp_42.json,3(c)(iii),transformations,high
0607_m24_qp_42.json,4(a),statistics,high
0607_m24_qp_42.json,4(b),statistics,high
0607_m24_qp_42.json,4(c),straight lines,high
0607_m24_qp_42.json,4(d),straight lines,high
0607_m24_qp_42.json,4(e),statistics,high
0607_m24_qp_42.json,5(a),trigonometry,high
0607_m24_qp_42.json,5(b),trigonometry,high
0607_m24_qp_42.json,5(c),trigonometry,high
0607_m24_qp_42.json,6(a)(i),sets and Venn diagrams,high
0607_m24_qp_42.json,6(a)(ii),sets and Venn diagrams,high
0607_m24_qp_42.json,6(a)(iii),sets and Venn diagrams,high
0607_m24_qp_42.json,6(b)(i),probability,high
0607_m24_qp_42.json,6(b)(ii),probability,high
0607_m24_qp_42.json,6(b)(iii),probability,high
0607_m24_qp_42.json,7(a)(i),angles,high
0607_m24_qp_42.json,7(a)(ii),angles,high
0607_m24_qp_42.json,7(a)(iii),angles,high
0607_m24_qp_42.json,7(b)(i),similarity,high
0607_m24_qp_42.json,7(b)(ii),similarity,high
0607_m24_qp_42.json,8(a),statistics,high
0607_m24_qp_42.json,8(b)(i),statistics,high
0607_m24_qp_42.json,8(b)(ii),statistics,high
0607_m24_qp_42.json,8(c),statistics,high
0607_m24_qp_42.json,9(a),straight lines,high
0607_m24_qp_42.json,9(b),straight lines,high
0607_m24_qp_42.json,9(c),straight lines,high
0607_m24_qp_42.json,9(d),straight lines,high
0607_m24_qp_42.json,9(e),straight lines,high
0607_m24_qp_42.json,10(a)(i),functions,high
0607_m24_qp_42.json,10(a)(ii),functions,high
0607_m24_qp_42.json,10(a)(iii),functions,high
0607_m24_qp_42.json,10(b)(i),functions,high
0607_m24_qp_42.json,10(b)(ii),functions,high
0607_m24_qp_42.json,10(b)(iii),functions,high
0607_m24_qp_42.json,11(a),inequalities,high
0607_m24_qp_42.json,11(b),expanding and factorising,high
0607_m24_qp_42.json,11(c)(i),topics in arithmetic,high
0607_m24_qp_42.json,11(c)(ii),expanding and factorising,high
0607_m25_qp_22.json,1,topics in arithmetic,high
0607_m25_qp_22.json,2,inequalities,high
0607_m25_qp_22.json,3,angles,high
0607_m25_qp_22.json,4,statistics,high
0607_m25_qp_22.json,5,vectors,high
0607_m25_qp_22.json,6(a),sets and Venn diagrams,high
0607_m25_qp_22.json,6(b),sets and Venn diagrams,high
0607_m25_qp_22.json,7,topics in arithmetic,high
0607_m25_qp_22.json,8,topics in arithmetic,high
0607_m25_qp_22.json,9(a),simultaneous equations,high
0607_m25_qp_22.json,9(b),straight lines,high
0607_m25_qp_22.json,10(a),probability,high
0607_m25_qp_22.json,10(b)(i),probability,high
0607_m25_qp_22.json,10(b)(ii),probability,high
0607_m25_qp_22.json,11,sequences,high
0607_m25_qp_22.json,12(a)(i),transformations,high
0607_m25_qp_22.json,12(a)(ii),transformations,high
0607_m25_qp_22.json,12(b),transformations,high
0607_m25_qp_22.json,13,inequalities,high
0607_m25_qp_22.json,14(a),exponents and surds,high
0607_m25_qp_22.json,14(b),exponents and surds,high
0607_m25_qp_22.json,14(c),exponents and surds,high
0607_m25_qp_22.json,15,expanding and factorising,high
0607_m25_qp_22.json,16,mensuration,high
0607_m25_qp_22.json,17,straight lines,high
0607_m25_qp_22.json,18(a),solving linear equations,high
0607_m25_qp_22.json,18(b),solving linear equations,high
0607_m25_qp_22.json,19,similarity,high
0607_m25_qp_22.json,20,probability,high
0607_m25_qp_22.json,21(a),exponents and surds,high
0607_m25_qp_22.json,21(b),exponents and surds,high
0607_m25_qp_22.json,22,solving quadratic equations,high
0607_m25_qp_22.json,23(a),functions,high
0607_m25_qp_22.json,23(b),trigonometry,high
0607_m25_qp_42.json,1(a),mensuration,high
0607_m25_qp_42.json,1(b),mensuration,high
0607_m25_qp_42.json,2,topics in arithmetic,high
0607_m25_qp_42.json,3,topics in arithmetic,high
0607_m25_qp_42.json,4(a),vectors,high
0607_m25_qp_42.json,4(b),vectors,high
0607_m25_qp_42.json,5,topics in arithmetic,high
0607_m25_qp_42.json,6,circle theorems,high
0607_m25_qp_42.json,7,topics in arithmetic,high
0607_m25_qp_42.json,8(a),functions,high
0607_m25_qp_42.json,8(b),inequalities,high
0607_m25_qp_42.json,9(a),statistics,high
0607_m25_qp_42.json,9(b),statistics,high
0607_m25_qp_42.json,10,statistics,high
0607_m25_qp_42.json,11,topics in arithmetic,high
0607_m25_qp_42.json,12(a),mensuration,high
0607_m25_qp_42.json,12(b)(i),topics in arithmetic,high
0607_m25_qp_42.json,12(b)(ii),topics in arithmetic,high
0607_m25_qp_42.json,13(a),functions,high
0607_m25_qp_42.json,13(b),functions,high
0607_m25_qp_42.json,13(c),functions,high
0607_m25_qp_42.json,13(d),functions,high
0607_m25_qp_42.json,14(a),trigonometry,high
0607_m25_qp_42.json,14(b),trigonometry,high
0607_m25_qp_42.json,14(c),trigonometry,high
0607_m25_qp_42.json,15(a),angles,high
0607_m25_qp_42.json,15(b),mensuration,high
0607_m25_qp_42.json,15(c),mensuration,high
0607_m25_qp_42.json,16,probability,high
0607_m25_qp_42.json,17,exponents and surds,high
0607_m25_qp_42.json,18(a),expanding and factorising,high
0607_m25_qp_42.json,18(b),solving quadratic equations,high
0607_s14_qp_21.json,1(a),expanding and factorising,high
0607_s14_qp_21.json,1(b),expanding and factorising,high
0607_s14_qp_21.json,2(a),exponents and surds,high
0607_s14_qp_21.json,2(b),trigonometry,high
0607_s14_qp_21.json,2(c),trigonometry,high
0607_s14_qp_21.json,3(a),topics in arithmetic,high
0607_s14_qp_21.json,3(b),expanding and factorising,high
0607_s14_qp_21.json,4,topics in arithmetic,high
0607_s14_qp_21.json,5(a),topics in arithmetic,high
0607_s14_qp_21.json,5(b),variation and proportion,high
0607_s14_qp_21.json,6(a),exponents and surds,high
0607_s14_qp_21.json,6(b),exponents and surds,high
0607_s14_qp_21.json,7(a),straight lines,high
0607_s14_qp_21.json,7(b),inequalities,high
0607_s14_qp_21.json,7(c)(i),inequalities,high
0607_s14_qp_21.json,7(c)(ii),inequalities,high
0607_s14_qp_21.json,8(a),probability,high
0607_s14_qp_21.json,8(b)(i),probability,high
0607_s14_qp_21.json,8(b)(ii),probability,high
0607_s14_qp_21.json,9(a),statistics,high
0607_s14_qp_21.json,9(b),statistics,high
0607_s14_qp_21.json,10,solving quadratic equations,high
0607_s14_qp_22.json,1(a),vectors,high
0607_s14_qp_22.json,1(b),vectors,high
0607_s14_qp_22.json,2(a),transformations,high
0607_s14_qp_22.json,2(b),transformations,high
0607_s14_qp_22.json,2(c),transformations,high
0607_s14_qp_22.json,3,statistics,high
0607_s14_qp_22.json,4(a),topics in arithmetic,high
0607_s14_qp_22.json,4(b),exponents and surds,high
0607_s14_qp_22.json,5(a),expanding and factorising,high
0607_s14_qp_22.json,5(b),expanding and factorising,high
0607_s14_qp_22.json,6(a)(i),exponents and surds,high
0607_s14_qp_22.json,6(a)(ii),exponents and surds,high
0607_s14_qp_22.json,6(b)(i),topics in arithmetic,high
0607_s14_qp_22.json,6(b)(ii),topics in arithmetic,high
0607_s14_qp_22.json,7(a),probability,high
0607_s14_qp_22.json,7(b),probability,high
0607_s14_qp_22.json,7(c),probability,high
0607_s14_qp_22.json,8(a),variation and proportion,high
0607_s14_qp_22.json,8(b),variation and proportion,high
0607_s14_qp_22.json,9(a),topics in arithmetic,high
0607_s14_qp_22.json,9(b),topics in arithmetic,high
0607_s14_qp_22.json,10,expanding and factorising,medium
0607_s14_qp_23.json,1,topics in arithmetic,high
0607_s14_qp_23.json,2(a),topics in arithmetic,high
0607_s14_qp_23.json,2(b),topics in arithmetic,high
0607_s14_qp_23.json,3(a),sequences,high
0607_s14_qp_23.json,3(b),sequences,high
0607_s14_qp_23.json,3(c),sequences,high
0607_s14_qp_23.json,4(a),expanding and factorising,high
0607_s14_qp_23.json,4(b),solving linear equations,high
0607_s14_qp_23.json,5(a),exponents and surds,high
0607_s14_qp_23.json,5(b),exponents and surds,high
0607_s14_qp_23.json,6(a),circle theorems,high
0607_s14_qp_23.json,6(b),circle theorems,high
0607_s14_qp_23.json,7,variation and proportion,high
0607_s14_qp_23.json,8(a),exponents and surds,high
0607_s14_qp_23.json,8(b),exponents and surds,high
0607_s14_qp_23.json,9(a),transformations,high
0607_s14_qp_23.json,9(b),transformations,high
0607_s14_qp_23.json,10,trigonometry,high
0607_s14_qp_23.json,11(a),sets and Venn diagrams,high
0607_s14_qp_23.json,11(b),sets and Venn diagrams,high
0607_s14_qp_23.json,11(c),sets and Venn diagrams,high
0607_s14_qp_23.json,11(d),sets and Venn diagrams,high
0607_s14_qp_23.json,12(a),functions,high
0607_s14_qp_23.json,12(b),functions,high
0607_s14_qp_41.json,1(a),transformations,high
0607_s14_qp_41.json,1(b),transformations,high
0607_s14_qp_41.json,1(c),transformations,high
0607_s14_qp_41.json,1(d),transformations,high
0607_s14_qp_41.json,2(a),vectors,high
0607_s14_qp_41.json,2(b),straight lines,high
0607_s14_qp_41.json,2(c),straight lines,high
0607_s14_qp_41.json,2(d),straight lines,high
0607_s14_qp_41.json,2(e),vectors,high
0607_s14_qp_41.json,2(f),Pythagoras,high
0607_s14_qp_41.json,3(a),similarity,high
0607_s14_qp_41.json,3(b),similarity,high
0607_s14_qp_41.json,3(c),similarity,high
0607_s14_qp_41.json,4(a)(i),angles,high
0607_s14_qp_41.json,4(a)(ii),angles,high
0607_s14_qp_41.json,4(b),trigonometry,high
0607_s14_qp_41.json,4(c),trigonometry,high
0607_s14_qp_41.json,4(d),trigonometry,high
0607_s14_qp_41.json,5(a),logarithms,high
0607_s14_qp_41.json,5(b),simultaneous equations,high
0607_s14_qp_41.json,6(a),functions,high
0607_s14_qp_41.json,6(b),functions,high
0607_s14_qp_41.json,6(c),functions,high
0607_s14_qp_41.json,6(d)(i),functions,high
0607_s14_qp_41.json,6(d)(ii),functions,high
0607_s14_qp_41.json,7(a),statistics,high
0607_s14_qp_41.json,7(b),statistics,high
0607_s14_qp_41.json,7(c),statistics,high
0607_s14_qp_41.json,7(d),statistics,high
0607_s14_qp_41.json,7(e),statistics,high
0607_s14_qp_41.json,7(f),probability,high
0607_s14_qp_41.json,8(a),sets and Venn diagrams,high
0607_s14_qp_41.json,8(b),sets and Venn diagrams,high
0607_s14_qp_41.json,8(c),sets and Venn diagrams,high
0607_s14_qp_41.json,8(d),sets and Venn diagrams,high
0607_s14_qp_41.json,9(a)(i),sequences,high
0607_s14_qp_41.json,9(a)(ii),sequences,high
0607_s14_qp_41.json,9(b),sequences,high
0607_s14_qp_41.json,10(a),topics in arithmetic,high
0607_s14_qp_41.json,10(b),topics in arithmetic,high
0607_s14_qp_41.json,11(a)(i),mensuration,high
0607_s14_qp_41.json,11(a)(ii),mensuration,high
0607_s14_qp_41.json,11(a)(iii),mensuration,high
0607_s14_qp_41.json,11(b)(i),mensuration,high
0607_s14_qp_41.json,11(b)(ii),mensuration,high
0607_s14_qp_41.json,12(a),variation and proportion,high
0607_s14_qp_41.json,12(b)(i),solving quadratic equations,high
0607_s14_qp_41.json,12(b)(ii),solving quadratic equations,high
0607_s14_qp_41.json,12(b)(iii),solving quadratic equations,high
0607_s14_qp_41.json,12(b)(iv),mensuration,high
0607_s14_qp_41.json,13(a)(i),statistics,high
0607_s14_qp_41.json,13(a)(ii),statistics,high
0607_s14_qp_41.json,13(b)(i),statistics,high
0607_s14_qp_41.json,13(b)(ii),statistics,high
0607_s14_qp_41.json,13(c)(i),straight lines,high
0607_s14_qp_41.json,13(c)(ii),statistics,high
0607_s14_qp_41.json,13(c)(iii),statistics,high
0607_s14_qp_41.json,14(a)(i),functions,high
0607_s14_qp_41.json,14(a)(ii),functions,high
0607_s14_qp_41.json,14(a)(iii),functions,high
0607_s14_qp_41.json,14(a)(iv),functions,high
0607_s14_qp_41.json,14(b),inequalities,high
0607_s14_qp_42.json,1(a),topics in arithmetic,high
0607_s14_qp_42.json,1(b),topics in arithmetic,high
0607_s14_qp_42.json,1(c),topics in arithmetic,high
0607_s14_qp_42.json,1(d),topics in arithmetic,high
0607_s14_qp_42.json,1(e),topics in arithmetic,high
0607_s14_qp_42.json,2(a),functions,high
0607_s14_qp_42.json,2(b),functions,high
0607_s14_qp_42.json,2(c),functions,high
0607_s14_qp_42.json,2(d),functions,high
0607_s14_qp_42.json,3(a),transformations,high
0607_s14_qp_42.json,3(b),transformations,high
0607_s14_qp_42.json,4(a),mensuration,high
0607_s14_qp_42.json,4(b),mensuration,high
0607_s14_qp_42.json,4(c),similarity,high
0607_s14_qp_42.json,5(a),statistics,high
0607_s14_qp_42.json,5(b),statistics,high
0607_s14_qp_42.json,5(c)(i),statistics,high
0607_s14_qp_42.json,5(c)(ii),statistics,high
0607_s14_qp_42.json,5(d),statistics,high
0607_s14_qp_42.json,5(e),statistics,high
0607_s14_qp_42.json,5(f),statistics,high
0607_s14_qp_42.json,5(g),statistics,high
0607_s14_qp_42.json,6(a),straight lines,high
0607_s14_qp_42.json,6(b),straight lines,high
0607_s14_qp_42.json,6(c),straight lines,high
0607_s14_qp_42.json,7(a),sets and Venn diagrams,high
0607_s14_qp_42.json,7(b),sets and Venn diagrams,high
0607_s14_qp_42.json,7(c),probability,high
0607_s14_qp_42.json,7(d),probability,high
0607_s14_qp_42.json,7(e),probability,high
0607_s14_qp_42.json,8(a),functions,high
0607_s14_qp_42.json,8(b),functions,high
0607_s14_qp_42.json,8(c),functions,high
0607_s14_qp_42.json,8(d),functions,high
0607_s14_qp_42.json,9(a)(i),statistics,high
0607_s14_qp_42.json,9(a)(ii),statistics,high
0607_s14_qp_42.json,9(a)(iii),statistics,high
0607_s14_qp_42.json,9(a)(iv),statistics,high
0607_s14_qp_42.json,9(a)(v),statistics,high
0607_s14_qp_42.json,9(b)(i),statistics,high
0607_s14_qp_42.json,9(b)(ii),statistics,high
0607_s14_qp_42.json,10(a),simultaneous equations,high
0607_s14_qp_42.json,10(b),solving quadratic equations,high
0607_s14_qp_42.json,10(c)(i),solving quadratic equations,high
0607_s14_qp_42.json,10(c)(ii),solving quadratic equations,high
0607_s14_qp_42.json,10(c)(iii),solving quadratic equations,high
0607_s14_qp_42.json,11(a)(i),circle theorems,high
0607_s14_qp_42.json,11(a)(ii),circle theorems,high
0607_s14_qp_42.json,11(a)(iii),circle theorems,high
0607_s14_qp_42.json,11(b)(i),trigonometry,high
0607_s14_qp_42.json,11(b)(ii),trigonometry,high
0607_s14_qp_42.json,11(b)(iii),trigonometry,high
